tick,territory_id,owner_id,unrest,equilibrium,conquest_shock,base,compat_pressure,distance_pressure,infra_bonus,overexpansion,rapid_expansion,is_in_revolt,compat_total
3,guatemala,nation_guatemala,0.005420,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
3,belize,nation_costa_rica,0.212451,0.815608,0.292014,0.020000,0.163595,0.160000,0.000000,0.030000,0.150000,0,0.702555
3,honduras,nation_costa_rica,0.105066,0.549148,0.231736,0.020000,0.037412,0.080000,0.000000,0.030000,0.150000,0,0.931977
3,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
3,nicaragua,nation_costa_rica,0.049708,0.465850,0.206548,0.020000,0.019302,0.040000,0.000000,0.030000,0.150000,0,0.964905
3,costa_rica,nation_costa_rica,0.046099,0.231424,0.000000,0.020000,0.031424,0.000000,0.000000,0.030000,0.150000,0,0.942866
3,panama,nation_panama,0.005420,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
4,guatemala,nation_guatemala,0.006878,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
4,belize,nation_costa_rica,0.272767,0.787335,0.279191,0.020000,0.163143,0.160000,0.000000,0.030000,0.135000,0,0.703376
4,honduras,nation_costa_rica,0.149474,0.519314,0.217546,0.020000,0.036768,0.080000,0.000000,0.030000,0.135000,0,0.933149
4,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
4,nicaragua,nation_costa_rica,0.091322,0.435168,0.191225,0.020000,0.018943,0.040000,0.000000,0.030000,0.135000,0,0.965558
4,costa_rica,nation_costa_rica,0.064631,0.215844,0.000000,0.020000,0.030844,0.000000,0.000000,0.030000,0.135000,0,0.943920
4,panama,nation_panama,0.006878,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
5,guatemala,nation_guatemala,0.008190,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
5,belize,nation_costa_rica,0.324224,0.759652,0.266918,0.020000,0.162734,0.160000,0.000000,0.030000,0.120000,0,0.704119
5,honduras,nation_costa_rica,0.186458,0.489728,0.203570,0.020000,0.036158,0.080000,0.000000,0.030000,0.120000,0,0.934259
5,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
5,nicaragua,nation_costa_rica,0.125706,0.405080,0.176480,0.020000,0.018600,0.040000,0.000000,0.030000,0.120000,0,0.966182
5,costa_rica,nation_costa_rica,0.079752,0.200288,0.000000,0.020000,0.030288,0.000000,0.000000,0.030000,0.120000,0,0.944930
5,panama,nation_panama,0.008190,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
6,guatemala,nation_guatemala,0.009371,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
6,belize,nation_costa_rica,0.367767,0.732532,0.255171,0.020000,0.162361,0.160000,0.000000,0.030000,0.105000,0,0.704799
6,honduras,nation_costa_rica,0.216785,0.460459,0.189883,0.020000,0.035576,0.080000,0.000000,0.030000,0.105000,0,0.935316
6,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
6,nicaragua,nation_costa_rica,0.153644,0.375627,0.162357,0.020000,0.018270,0.040000,0.000000,0.030000,0.105000,0,0.966782
6,costa_rica,nation_costa_rica,0.091806,0.184753,0.000000,0.020000,0.029753,0.000000,0.000000,0.030000,0.105000,0,0.945903
6,panama,nation_panama,0.009371,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
7,guatemala,nation_guatemala,0.010434,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
7,belize,nation_costa_rica,0.404243,0.705947,0.243931,0.020000,0.162016,0.160000,0.000000,0.030000,0.090000,0,0.705425
7,honduras,nation_costa_rica,0.241152,0.431568,0.176549,0.020000,0.035019,0.080000,0.000000,0.030000,0.090000,0,0.936329
7,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
7,nicaragua,nation_costa_rica,0.175842,0.346843,0.148892,0.020000,0.017952,0.040000,0.000000,0.030000,0.090000,0,0.967361
7,costa_rica,nation_costa_rica,0.101101,0.169236,0.000000,0.020000,0.029236,0.000000,0.000000,0.030000,0.090000,0,0.946844
7,panama,nation_panama,0.010434,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
8,guatemala,nation_guatemala,0.011391,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
8,belize,nation_costa_rica,0.434414,0.679872,0.233176,0.020000,0.161696,0.160000,0.000000,0.030000,0.075000,0,0.706008
8,honduras,nation_costa_rica,0.260194,0.403106,0.163625,0.020000,0.034482,0.080000,0.000000,0.030000,0.075000,0,0.937306
8,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
8,nicaragua,nation_costa_rica,0.192942,0.318753,0.136110,0.020000,0.017643,0.040000,0.000000,0.030000,0.075000,0,0.967922
8,costa_rica,nation_costa_rica,0.107914,0.153733,0.000000,0.020000,0.028733,0.000000,0.000000,0.030000,0.075000,0,0.947758
8,panama,nation_panama,0.011391,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
9,guatemala,nation_guatemala,0.012252,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
9,belize,nation_costa_rica,0.458959,0.654282,0.222887,0.020000,0.161394,0.160000,0.000000,0.030000,0.060000,0,0.706556
9,honduras,nation_costa_rica,0.274485,0.375121,0.151160,0.020000,0.033962,0.080000,0.000000,0.030000,0.060000,0,0.938252
9,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
9,nicaragua,nation_costa_rica,0.205523,0.291373,0.124031,0.020000,0.017343,0.040000,0.000000,0.030000,0.060000,0,0.968468
9,costa_rica,nation_costa_rica,0.112496,0.138243,0.000000,0.020000,0.028243,0.000000,0.000000,0.030000,0.060000,0,0.948650
9,panama,nation_panama,0.012252,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
10,guatemala,nation_guatemala,0.013026,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
10,belize,nation_costa_rica,0.478492,0.629153,0.213045,0.020000,0.161108,0.160000,0.000000,0.030000,0.045000,0,0.707076
10,honduras,nation_costa_rica,0.284549,0.347651,0.139196,0.020000,0.033455,0.080000,0.000000,0.030000,0.045000,0,0.939172
10,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
10,nicaragua,nation_costa_rica,0.214108,0.264713,0.112663,0.020000,0.017050,0.040000,0.000000,0.030000,0.045000,0,0.969001
10,costa_rica,nation_costa_rica,0.115071,0.122763,0.000000,0.020000,0.027763,0.000000,0.000000,0.030000,0.045000,0,0.949521
10,panama,nation_panama,0.013026,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
11,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
11,guatemala,nation_guatemala,0.013724,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
11,belize,nation_costa_rica,0.493558,0.604464,0.203630,0.020000,0.160834,0.160000,0.000000,0.030000,0.030000,0,0.707575
11,honduras,nation_costa_rica,0.290859,0.320726,0.127766,0.020000,0.032960,0.080000,0.000000,0.030000,0.030000,0,0.940072
11,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
11,nicaragua,nation_costa_rica,0.219169,0.238773,0.102010,0.020000,0.016763,0.040000,0.000000,0.030000,0.030000,0,0.969522
11,costa_rica,nation_costa_rica,0.115840,0.107293,0.000000,0.020000,0.027293,0.000000,0.000000,0.030000,0.030000,0,0.950376
11,panama,nation_panama,0.013724,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
12,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
12,guatemala,nation_guatemala,0.014351,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
12,belize,nation_costa_rica,0.504648,0.580193,0.194625,0.020000,0.160569,0.160000,0.000000,0.030000,0.015000,0,0.708057
12,honduras,nation_costa_rica,0.293846,0.294371,0.116896,0.020000,0.032474,0.080000,0.000000,0.030000,0.015000,0,0.940956
12,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
12,nicaragua,nation_costa_rica,0.221129,0.213550,0.092069,0.020000,0.016481,0.040000,0.000000,0.030000,0.015000,0,0.970034
12,costa_rica,nation_costa_rica,0.114985,0.091830,0.000000,0.020000,0.026830,0.000000,0.000000,0.030000,0.015000,0,0.951218
12,panama,nation_panama,0.014351,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
13,mexico_yucatan,,0.000000,0.000000,0.000000,,,,,,,0,
13,guatemala,nation_guatemala,0.014916,0.020000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
13,belize,nation_costa_rica,0.512203,0.561322,0.186012,0.020000,0.160310,0.160000,0.000000,0.030000,0.005000,0,0.708527
13,honduras,nation_costa_rica,0.293898,0.273601,0.106606,0.020000,0.031996,0.080000,0.000000,0.030000,0.005000,0,0.941826
13,el_salvador,,0.000000,0.000000,0.000000,,,,,,,0,
